id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q112192170,,,,,,,,,,
Q30590221,Cambodian Ambassador to the United States,Q424,,,,,,,,List of ambassadors of Cambodia to the United States
Q28219487,Cambodian ambassador to China,Q424,,,,,,,,List of ambassadors of Cambodia to China
Q29146839,Deputy Prime Minister of Cambodia,Q424,Q424,,,,,,,
Q17063637,Governor of Phnom Penh,Q424,Q1850,,,1941,,,,List of governors of Phnom Penh
Q42298242,King of Cambodia,Q424,Q424,,Q42298246,,,,,
Q21295974,Member of the National Assembly of Cambodia,Q424,Q424,,,,,,,
Q21295127,Member of the Senate of Cambodia,,Q424,,,,,,,
Q114418549,Minister in Charge of the Office of the Council of Ministers,Q424,Q424,,,,,,,
Q114417309,"Minister of Agriculture, Forestry and Fisheries",Q424,Q424,,,,,,,
Q114417357,Minister of Civil Service,Q424,Q424,,,,,,,
Q114417331,Minister of Commerce,,Q424,,,,,,,
Q114417369,Minister of Cults and Religion,Q424,Q424,,,,,,,
Q114417371,Minister of Culture and Fine Arts,,Q424,,,,,,,
Q113501533,Minister of Economy and Finance (Cambodia),,Q424,,,,,,,
Q114417374,"Minister of Education, Youth and Sport",,Q424,,,,,,,
Q114417375,Minister of Environment (Cambodia),,Q424,,,,,,,
Q59326617,Minister of Foreign Affairs of Cambodia,Q424,Q424,,,,,,,
Q113501566,Minister of Health,,Q424,,,,,,,
Q114417393,Minister of Industry and Handicrafts,,Q424,,,,2020-03-30,,Q114417394,
Q114417394,"Minister of Industry, Science, Technology and Innovation",Q424,Q424,,,2020-03-30,,Q114417393,,
Q59326295,Minister of Information of Cambodia,Q424,Q424,,,,,,,
Q113501549,Minister of Interior,,Q424,,,,,,,
Q114417280,Minister of Justice,,Q424,,,,,,,
Q114417377,Minister of Labour and Vocational Training,,Q424,,,,,,,
Q114417297,"Minister of Land Management, Urban Planning and Construction",,Q424,,,,,,,
Q114417383,Minister of Mines and Energy,,Q424,,,,,,,
Q62063457,Minister of National Assembly–Senate Relations and Inspection,Q424,Q424,,,,,,,
Q113501557,Minister of National Defence of Cambodia,,Q424,,,,,,,
Q114417381,Minister of Planning,,Q424,,,,,,,
Q114417384,"Minister of Posts and Telecommunications, Cambodia",,Q424,,,,,,,
Q114417386,Minister of Public Works and Transport,,Q424,,,,,,,
Q114417390,Minister of Rural Development,,Q424,,,,,,,
Q114417432,"Minister of Social Affairs, Veterans and Youth Rehabilitation",Q424,Q424,,,,,,,
Q114417459,Minister of Tourism,,Q424,,,,,,,
Q114417484,Minister of Water Resources and Meteorology,Q424,Q424,,,,,,,
Q114417498,Minister of Women's Affairs,,Q424,,,,,,,
Q114419520,Minister of the Royal Palace,Q424,Q424,,,,,,,
Q113501529,Permanent Representative of Cambodia to UNESCO,,,,,,,,,
Q1999325,Prime Minister of Cambodia,Q424,Q424,,Q4377180,,,,,Prime Minister of Cambodia
Q114417500,Secretary of State for Civil Aviation,,Q424,,,,,,,
Q56886836,ambassador of Cambodia in Russia,Q424,,,,,,,,
Q113556079,ambassador of Cambodia to India,,,,,,,,,
Q113501523,ambassador of Cambodia to the United Kingdom,,,,,,,,,
